Scenario,GA_Configuration,Run,ROI,Duration
A1_Osnovni,Standardni GA,1,15.48,116.58209168602289
A1_Osnovni,Standardni GA,2,15.48,116.98751314072454
A1_Osnovni,Standardni GA,3,15.48,118.55431300946934
A1_Osnovni,Standardni GA,4,15.48,118.18670192343866
A1_Osnovni,Standardni GA,5,15.48,117.34998173931159
A1_Osnovni,Standardni GA,6,15.48,117.49049446478841
A1_Osnovni,Standardni GA,7,15.48,118.77671283338758
A1_Osnovni,Standardni GA,8,15.48,118.93599089925493
A1_Osnovni,Standardni GA,9,15.48,116.46110691154934
A1_Osnovni,Standardni GA,10,15.48,117.54916561316215
A1_Osnovni,Bez mutacije,1,15.48,116.50448703285603
A1_Osnovni,Bez mutacije,2,15.48,117.95765030880293
A1_Osnovni,Bez mutacije,3,15.48,117.16817270468145
A1_Osnovni,Bez mutacije,4,15.48,120.51568808841199
A1_Osnovni,Bez mutacije,5,15.48,118.74239088260143
A1_Osnovni,Bez mutacije,6,15.48,116.34488330485378
A1_Osnovni,Bez mutacije,7,15.48,119.63981722709754
A1_Osnovni,Bez mutacije,8,15.06,135.94136915103056
A1_Osnovni,Bez mutacije,9,15.06,140.72782613558658
A1_Osnovni,Bez mutacije,10,15.48,117.74770905920141
A1_Osnovni,Bez križanja,1,15.06,138.18999145106986
A1_Osnovni,Bez križanja,2,15.06,138.59721794607054
A1_Osnovni,Bez križanja,3,15.48,117.63013805816503
A1_Osnovni,Bez križanja,4,15.48,117.91353927185996
A1_Osnovni,Bez križanja,5,15.48,118.33562153500381
A1_Osnovni,Bez križanja,6,15.48,119.21286958324154
A1_Osnovni,Bez križanja,7,15.48,117.59844693131834
A1_Osnovni,Bez križanja,8,15.48,119.58535365750649
A1_Osnovni,Bez križanja,9,15.48,117.50311549927727
A1_Osnovni,Bez križanja,10,15.48,118.56911539665072
A1_Osnovni,Više generacija,1,15.48,120.33443742472313
A1_Osnovni,Više generacija,2,15.06,136.53841526303833
A1_Osnovni,Više generacija,3,15.48,119.01813425676777
A1_Osnovni,Više generacija,4,15.48,119.39179762289534
A1_Osnovni,Više generacija,5,15.48,116.93302250130853
A1_Osnovni,Više generacija,6,15.48,117.76376993351279
A1_Osnovni,Više generacija,7,15.48,117.05986183370545
A1_Osnovni,Više generacija,8,15.48,116.75485348105711
A1_Osnovni,Više generacija,9,15.48,119.21226142461015
A1_Osnovni,Više generacija,10,15.48,118.10524222820003
A1_Osnovni,Veća populacija,1,15.48,117.96341712689684
A1_Osnovni,Veća populacija,2,15.48,119.69207069019622
A1_Osnovni,Veća populacija,3,15.48,116.57762791162149
A1_Osnovni,Veća populacija,4,15.48,121.17885259857616
A1_Osnovni,Veća populacija,5,15.48,117.47759807428564
A1_Osnovni,Veća populacija,6,15.48,119.31895472810575
A1_Osnovni,Veća populacija,7,15.48,117.1208184478259
A1_Osnovni,Veća populacija,8,15.48,117.98568372302321
A1_Osnovni,Veća populacija,9,15.48,117.78352098036957
A1_Osnovni,Veća populacija,10,15.48,117.87328824156529
A2_Srednji,Standardni GA,1,63.52,482.2649526775969
A2_Srednji,Standardni GA,2,63.51,466.92053070165616
A2_Srednji,Standardni GA,3,63.86,493.42775356978956
A2_Srednji,Standardni GA,4,61.27,473.5607670222352
A2_Srednji,Standardni GA,5,63.83,494.51754825851077
A2_Srednji,Standardni GA,6,64.19,501.89762966932466
A2_Srednji,Standardni GA,7,62.12,477.75494386185613
A2_Srednji,Standardni GA,8,62.65,454.67235404130594
A2_Srednji,Standardni GA,9,60.410000000000004,479.06701669154796
A2_Srednji,Standardni GA,10,63.81,498.8592258188052
A2_Srednji,Bez mutacije,1,61.83,466.07520808633103
A2_Srednji,Bez mutacije,2,63.11,504.3387729356089
A2_Srednji,Bez mutacije,3,57.37,426.87654375723343
A2_Srednji,Bez mutacije,4,57.17,474.03248286329375
A2_Srednji,Bez mutacije,5,58.7,466.971019360727
A2_Srednji,Bez mutacije,6,57.36,450.1397371524976
A2_Srednji,Bez mutacije,7,61.49,450.3764697055838
A2_Srednji,Bez mutacije,8,56.06,443.0635165659083
A2_Srednji,Bez mutacije,9,59.230000000000004,465.0527240403337
A2_Srednji,Bez mutacije,10,60.68,447.7161907229363
A2_Srednji,Bez križanja,1,59.4,453.74500625584267
A2_Srednji,Bez križanja,2,59.35,463.30518766738174
A2_Srednji,Bez križanja,3,58.480000000000004,497.16170785270265
A2_Srednji,Bez križanja,4,57.81,447.9815222415556
A2_Srednji,Bez križanja,5,57.63,474.1924104350728
A2_Srednji,Bez križanja,6,58.410000000000004,423.5800493693269
A2_Srednji,Bez križanja,7,59.76,469.9066000498943
A2_Srednji,Bez križanja,8,58.31,466.2913421718499
A2_Srednji,Bez križanja,9,56.55,485.0207679260258
A2_Srednji,Bez križanja,10,62.25,479.9750761181759
A2_Srednji,Više generacija,1,63.08,481.12249976446685
A2_Srednji,Više generacija,2,62.87,509.471570850472
A2_Srednji,Više generacija,3,63.02,510.5692959642714
A2_Srednji,Više generacija,4,61.98,472.89957989596695
A2_Srednji,Više generacija,5,61.81,463.06489878090076
A2_Srednji,Više generacija,6,64.21,497.28847111481207
A2_Srednji,Više generacija,7,63.59,503.3302965802687
A2_Srednji,Više generacija,8,63.23,479.3029921130541
A2_Srednji,Više generacija,9,63.27,493.39364804765324
A2_Srednji,Više generacija,10,63.44,484.43941362789576
A2_Srednji,Veća populacija,1,65.3,489.6283875116091
A2_Srednji,Veća populacija,2,64.46,460.9416964073818
A2_Srednji,Veća populacija,3,63.95,504.82848369858664
A2_Srednji,Veća populacija,4,63.81,500.5573025800821
A2_Srednji,Veća populacija,5,64.1,502.81388961195205
A2_Srednji,Veća populacija,6,63.68,463.4840578306437
A2_Srednji,Veća populacija,7,63.86,490.3263717733678
A2_Srednji,Veća populacija,8,64.49,491.6783411462792
A2_Srednji,Veća populacija,9,63.730000000000004,504.04479783905117
A2_Srednji,Veća populacija,10,63.980000000000004,495.10350558457657
A3_Slozeni,Standardni GA,1,113.0,939.3618346558545
A3_Slozeni,Standardni GA,2,113.1,979.908942983409
