gen,nevals,avg,std,min,max
0,250,-991.11176,655.8077159028417,-3075.0,91.12
1,187,-479.93612,436.2793186037422,-1874.0,91.12
2,206,-175.5878,306.63228453044536,-1384.0,91.12
3,205,-27.861600000000003,209.6940026606388,-1455.0,91.12
4,204,-10.911719999999997,202.68752291703012,-938.0,91.9
5,175,2.0679999999999983,191.26904157024472,-1233.0,91.9
6,191,7.08492,175.30241882242697,-1088.0,96.26
7,197,11.538640000000001,176.07730489006923,-1163.0,96.5
8,202,30.98008,150.2685054853265,-662.0,97.31
9,196,2.1257199999999994,188.7783510354977,-853.0,99.02
10,189,23.02732,184.22320750550838,-1193.0,99.81
11,174,21.554039999999997,180.497647470759,-1001.0,99.81
12,183,8.53164,189.9120439406369,-977.0,103.63
13,203,27.625199999999996,161.39801068959926,-790.0,102.27
14,182,14.696079999999998,202.1399239037989,-1399.0,103.41
15,193,32.3912,180.1304305667424,-1131.0,103.41
16,187,20.6368,196.3007165574288,-1167.0,103.78
17,171,28.281039999999997,182.43700856273213,-1055.0,104.38
18,193,1.3707599999999982,204.21300030855627,-1112.0,105.68
19,189,24.716,203.16514347101963,-1626.0,107.14
20,190,31.413800000000002,163.90857677241908,-955.0,106.71
21,184,-9.7552,225.24044983119705,-1178.0,107.36
22,205,14.513039999999998,180.76127002751002,-891.0,107.36
23,201,19.94268,162.5321280006436,-700.0,107.97
24,199,26.373759999999997,179.44205747444605,-1289.0,110.31
25,195,12.46428,192.34823402901728,-1107.0,110.31
26,183,26.496119999999998,164.31576511748835,-874.0,110.31
27,186,29.40692,189.35171516443575,-1024.0,110.47
28,203,38.87612,163.85312044555513,-770.0,110.77
29,190,9.986559999999999,206.40472490950006,-1077.0,111.12
30,194,28.98116,172.65669605970803,-864.0,111.32
31,195,32.31804,180.55183584931612,-991.0,111.91
32,198,34.70992,188.62535438692646,-824.0,111.5
33,192,5.155519999999998,230.5814901520276,-1027.0,111.5
34,207,3.8677999999999995,199.38423441676628,-1076.0,111.5
35,178,37.95712,172.27882564873028,-959.0,111.57
36,176,32.34628,203.52156437331547,-1092.0,111.57
37,200,17.130679999999998,208.10034070500123,-1324.0,111.57
38,199,25.748279999999998,185.7310362256174,-1040.0,111.63
39,180,21.19456,218.00733076483095,-1444.0,111.53
40,195,35.968399999999995,189.2150922496406,-986.0,111.53
41,188,43.28475999999999,194.74203248642138,-999.0,111.53
42,197,32.18736,201.5376100509044,-1145.0,111.53
43,199,38.81607999999999,202.3937160759533,-1156.0,111.53
44,186,33.55692,212.06899763169912,-993.0,111.53
45,182,40.920719999999996,186.0308424113636,-1031.0,111.53
46,201,14.419399999999994,242.73074158507407,-1166.0,111.53
47,190,40.831639999999986,192.14839534097183,-857.0,111.53
48,196,39.31967999999999,187.29320810936414,-1111.0,111.53
49,183,51.33787999999999,184.4311982651135,-933.0,112.18
50,193,47.06264,178.2902569750529,-1048.0,112.18
51,178,55.71647999999999,162.05265044796275,-797.0,112.18
52,190,30.581039999999994,210.67849900100958,-1405.0,112.18
53,191,40.25759999999999,172.3193283849493,-860.0,112.18
54,194,38.79692,177.78120878122525,-945.0,112.18
55,182,34.41239999999999,199.43406481501597,-1074.0,112.18
56,192,24.688200000000005,222.96462875792656,-1290.0,112.18
57,202,40.726960000000005,173.79162605246088,-1008.0,112.18
58,190,39.47700000000002,191.34482281629676,-860.0,112.18
59,179,45.64312000000001,195.7860863326748,-1342.0,112.18
60,193,36.45576000000002,204.67166666547277,-1233.0,112.18
61,186,54.80364000000002,181.88653478460247,-1146.0,112.18
62,191,63.52980000000001,148.41414336767235,-927.0,112.18
63,187,57.00356000000002,174.86543210287846,-1153.0,112.18
64,182,53.45208000000002,188.64017646639752,-1244.0,112.18
65,202,51.01600000000001,172.6339095519765,-984.0,112.18
66,192,42.543720000000015,191.278818643784,-1275.0,112.18
67,191,68.48932000000002,157.06177447086736,-814.0,112.18
68,197,53.50524000000002,168.89904529790095,-835.0,112.59
69,199,44.66068000000001,193.22894663258296,-992.0,112.59
70,190,60.438560000000024,164.85113764219645,-873.0,112.59
71,196,30.376720000000017,198.2365975728034,-887.0,112.59
72,177,34.835640000000026,216.64923790263006,-1342.0,112.59
73,198,54.50268000000002,171.13771853223238,-1074.0,112.59
74,184,32.95500000000001,188.67238290804514,-1021.0,112.59
75,187,57.24220000000001,147.96103722656179,-963.0,112.59
76,189,31.744520000000012,191.8911293415347,-1002.0,112.59
77,183,50.727640000000015,179.3805085677661,-1120.0,112.59
78,191,39.39256,188.02824526077566,-1077.0,112.59
79,176,54.888360000000006,174.27437895947412,-819.0,112.59
80,186,50.83344000000001,195.80971199653607,-1152.0,112.88
